id,app,storefront,rating,date,primary_job,title
En-US-000,Endel,US,5,2026-08-29,sleep,It yes
En-US-001,Endel,US,1,2026-08-29,adhd/neurodivergent,Beware they will still charge you even if you cancel the trial membership days before it ends!
En-US-002,Endel,US,1,2026-08-25,adhd/neurodivergent,Scam - preying on ppl w/ ADHD
En-US-003,Endel,US,2,2026-08-25,reading/writing,App was okay but tried to charge me after I unsubscribed
En-US-004,Endel,US,2,2026-08-24,sleep,Unimpressed
En-US-005,Endel,US,1,2026-08-24,,Refund Warning!!
En-US-006,Endel,US,3,2026-08-24,anxiety/stress,Something changed ?
En-US-007,Endel,US,1,2026-08-23,,Fraud
En-US-008,Endel,US,2,2026-08-22,sleep,Customer service?
En-US-009,Endel,US,5,2026-08-21,study/schoolwork,Money Well Spent
En-US-010,Endel,US,5,2026-08-21,,It works
En-US-011,Endel,US,1,2026-08-20,adhd/neurodivergent,Terrible App
En-US-012,Endel,US,2,2026-08-20,,Invasive and off putting
En-US-013,Endel,US,3,2026-08-18,,False Advertising on 8D Odyssey
En-US-014,Endel,US,5,2026-08-17,,Choose Endel
En-US-015,Endel,US,5,2026-08-16,,STOP PUSHING FOR LIFE TIME SUBSCRIPTION
En-US-016,Endel,US,1,2026-08-13,,Can’t use this app for more than 5-minutes
En-US-017,Endel,US,5,2026-08-13,sleep,Not overhyoed
En-US-018,Endel,US,1,2026-08-13,,"Double charged, customer support nonexistent"
En-US-019,Endel,US,5,2026-08-12,,Shocked
En-US-020,Endel,US,5,2026-08-12,tinnitus/noise-masking,Amazing
En-US-021,Endel,US,5,2026-08-12,sleep,Nothing else but this has worked!
En-US-022,Endel,US,2,2026-08-11,adhd/neurodivergent,No option to cancel after free trial.
En-US-023,Endel,US,1,2026-08-10,,Keeps bugging me about lifetime subscription
En-US-024,Endel,US,1,2026-08-08,,Take your money
En-US-025,Endel,US,1,2026-08-06,,.
En-US-026,Endel,US,5,2026-08-03,,Scam & Fraud
En-US-027,Endel,US,3,2026-08-03,,Too Expensive
En-US-028,Endel,US,1,2026-08-02,,Misleading
En-US-029,Endel,US,1,2026-07-31,adhd/neurodivergent,"Ads, even though I’ve paid!"
En-US-030,Endel,US,1,2026-07-30,adhd/neurodivergent,Wrong songs and click bait
En-US-031,Endel,US,4,2026-07-30,focus/work,Don’t work
En-US-032,Endel,US,1,2026-07-28,adhd/neurodivergent,Premium still has ads
En-US-033,Endel,US,3,2026-07-27,,"Great App, But the Constant Upselling Is Too Much"
En-US-034,Endel,US,1,2026-07-25,,"Love the solution, hate the sales push (I pay yearly)"
En-US-035,Endel,US,1,2026-07-25,adhd/neurodivergent,Not for me but I didn’t get a choice
En-US-036,Endel,US,5,2026-07-24,,Everything I Have ever wanted
En-US-037,Endel,US,3,2026-07-22,anxiety/stress,Ruined by constant upselling to existing premium users
En-US-038,Endel,US,1,2026-07-21,adhd/neurodivergent,Constant ads
En-US-039,Endel,US,1,2026-07-21,,They steal from you
En-US-040,Endel,US,5,2026-07-20,relax/unwind/calm-down,Unbelievable
En-US-041,Endel,US,1,2026-07-18,,Cancelled
En-US-042,Endel,US,1,2026-07-18,reading/writing,Unethical strategies to make it nearly impossible to cancel
En-US-043,Endel,US,1,2026-07-14,,You will get charged $120 without being asked to confirm
En-US-044,Endel,US,4,2026-07-14,sleep,LOVE except for one annoying flaw
En-US-045,Endel,US,1,2026-07-09,,Absolutely  BS
En-US-046,Endel,US,5,2026-07-09,,Ridiculously amazing product.
En-US-047,Endel,US,1,2026-07-09,,"Unauthorized $119.99 charge, refund process failed"
En-US-048,Endel,US,1,2026-07-09,focus/work,App has crashed…
En-US-049,Endel,US,1,2026-07-09,,False Advertising
En-US-050,Endel,US,1,2026-07-08,,Prompts for Money Each Boot
En-US-051,Endel,US,1,2026-07-06,,Takes over your phone by default
En-US-052,Endel,US,1,2026-07-05,exercise/movement,"Loved it, Until I had to pay them for the rest of forever."
En-US-053,Endel,US,5,2026-07-05,adhd/neurodivergent,Migraine Brain Helper Too!
En-US-054,Endel,US,1,2026-07-04,adhd/neurodivergent,Feels More Focused on Revenue Than User Experience
En-US-055,Endel,US,1,2026-07-03,,Asks intrusive questions
En-US-056,Endel,US,2,2026-07-03,adhd/neurodivergent,I want to like the App but…it’s misleading
En-US-057,Endel,US,5,2026-07-03,,?????
En-US-058,Endel,US,4,2026-07-03,,Scam discount price
En-US-059,Endel,US,1,2026-07-02,,Fraudulent
En-US-060,Endel,US,5,2026-07-01,,Round of Applause!
En-US-061,Endel,US,1,2026-07-01,,App never works and feels like a scam
En-US-062,Endel,US,1,2026-06-30,,Great but so triggering I’m done with it
En-US-063,Endel,US,4,2026-06-29,adhd/neurodivergent,Anxiety and panic attacks
En-US-064,Endel,US,2,2026-06-29,relax/unwind/calm-down,Disappointed
En-US-065,Endel,US,5,2026-06-29,sleep,Sleep
En-US-066,Endel,US,2,2026-06-28,,Way too expensive
En-US-067,Endel,US,5,2026-06-28,,Yikes
En-US-068,Endel,US,1,2026-06-25,sleep,Disgusting and greeedy
En-US-069,Endel,US,2,2026-06-25,adhd/neurodivergent,"Ok, but FALSE ADS! NOT what the ads play. And, they still beg for money after you subscribe."
En-US-070,Endel,US,5,2026-06-25,sleep,It just works
En-US-071,Endel,US,4,2026-06-23,,"If only it was cheaper, so everyone could utilize it."
En-US-072,Endel,US,5,2026-06-22,,The audio automatically stops playing at night.
En-US-073,Endel,US,1,2026-06-22,,bait and switch.
En-US-074,Endel,US,3,2026-06-22,,Make it simpler.
En-US-075,Endel,US,1,2026-06-22,,Regret buying
En-US-076,Endel,US,2,2026-06-20,relax/unwind/calm-down,Marvelous app
En-US-077,Endel,US,5,2026-06-20,adhd/neurodivergent,Helpful
En-US-078,Endel,US,5,2026-06-16,adhd/neurodivergent,Neurodivergent Sound Bath
En-US-079,Endel,US,1,2026-06-16,,Can’t cancel app!
En-US-080,Endel,US,1,2026-06-16,adhd/neurodivergent,Shameful app that takes advantage of ADHD people
En-US-081,Endel,US,1,2026-06-15,reading/writing,Misleading advertising
En-US-082,Endel,US,5,2026-06-14,sleep,Great app
En-US-083,Endel,US,5,2026-06-14,,This really works
En-US-084,Endel,US,2,2026-06-14,,Subscription is through Paddle
En-US-085,Endel,US,1,2026-06-13,adhd/neurodivergent,Paying for Non-Stop Advertising
En-US-086,Endel,US,5,2026-06-13,sleep,I LOVE IT
En-US-087,Endel,US,2,2026-06-12,,You killed the app with your greed
En-US-088,Endel,US,1,2026-06-12,anxiety/stress,Too many pop ups and options and questions
En-US-089,Endel,US,1,2026-06-11,,Worst UX EVER
