id,app,storefront,rating,date,final_wish,title,content
En-US-005,Endel,US,1,2026-08-24,account / cancellation / restore,Refund Warning!!,"I cancelled my subscription during the trial period but was still charged the annual rate. Tried to seek refund through customer service and told they can’t do it through Apple Store. Unfortunately, Apple only shows the free trial. The company charged my card outside of Apple because I received an alert from my credit card company about the charge. It should have been through Apple. Try at your own risk."
En-US-012,Endel,US,2,2026-08-20,playback controls (autoplay / background mode),Invasive and off putting,"I had to delete this app because there is no way to make it stop playing automatically when I put my headphones on. I searched the entire menu and there was no option. I tried following several different sets of directions I found searching the web but none of them worked. Endel obviously wants to make it hard so they keep changing the process and have now removed it entirely.

Edit: the developer sent me a canned response that in no way addressed my complaint. It’s either AI or just lazy."
En-US-020,Endel,US,5,2026-08-12,customization / mix-your-own / controls,Amazing,"I changed my original review. This app actually has far more options than I originally saw and it’s amazing. I do wish I could play more than one solfeggio tone at once, or have the option to disable the added music that comes in. This is because it takes a few different tones to hit all the tinnitus I hear 😅. Maybe in a future update? Thanks for the app!!!"
En-US-022,Endel,US,2,2026-08-11,account / cancellation / restore,No option to cancel after free trial.,They keep trying to charge me $80 but there’s no way for me to cancel or end it. ADHD tax but not from forgetting - instead from being targeted by an app promising to help.
En-US-023,Endel,US,1,2026-08-10,stop upsell / ads / push nagging,Keeps bugging me about lifetime subscription,"Already purchased an annual subscription yet the app gives me a pop up for getting a lifetime subscription every time I enter the app, with seemingly no way to turn it off. Anti-consumer practice."
En-US-027,Endel,US,3,2026-08-03,cheaper / pricing / free tier,Too Expensive,Great product but way too expensive given the free content now available elsewhere. Would love to see them come down by half…
En-US-056,Endel,US,2,2026-07-03,customization / mix-your-own / controls,I want to like the App but…it’s misleading,I got this app and paid for premium based upon the 8D sounds from an AD. The song is no where to be found or no songs at all. I could’ve dealt with it if there was an option to change the 8D sounds. It’s repetitive and annoying. I really dislike it. I even tried to add the 8D to my own music but still didn’t like the sound. Waste of money because I got it specifically for the 8D option.
En-US-071,Endel,US,4,2026-06-23,more variety / more soundscapes & music,"If only it was cheaper, so everyone could utilize it.","I really enjoy the 8D however when I bought the subscription I never did find any of the 8D sounds, not even 4D sounds, it was just the usual rain, static, white- blue noise, etc. not the 8D that draws you in 
:( and it’s so expensive, so many more could benefit if it was cheaper. 
People don’t realize if you’d sell a product for less many more people would buy it. why is that so difficult to understand?"
En-US-079,Endel,US,1,2026-06-16,account / cancellation / restore,Can’t cancel app!,"While I enjoyed the free trial, the app does not show up in the apple subscription and there’s no way to cancel or request a refund. I’m angry I was charged $119.99 and have no way of canceling via Apple as the FAQ’s state since it doesn’t show up on any apple subscription page"
En-US-081,Endel,US,1,2026-06-15,more variety / more soundscapes & music,Misleading advertising,The ad I saw had an 8d thing that isn’t even available in the premium.  Wish I had read the 1 star reviews before going to premium.  How scammy of you.  Your response to others on this issue is garbage too.  Hope karma gets you.
En-US-084,Endel,US,2,2026-06-14,account / cancellation / restore,Subscription is through Paddle,Makes it harder to cancel because it doesn’t show up in your Apple subscriptions. Hence why I’m sure a TON of people have subscriptions they didn’t actually want after the free trial. Should be illegal to do it this way. Class action lawsuit would be nice.
En-US-094,Endel,US,4,2026-06-07,customization / mix-your-own / controls,Not entirely what I expected but not bad either,"I downloaded this app after failing to locate a particular song from a Facebook ad. I expected the music to be playlist based with the option to choose songs but it appears to be set with the option to choose varying sound levels. It has been effective, I love the uplift in the afternoon. Really wish I could find the one song I was looking for, seems rather catfish to use in an ad but not have available in the app."
En-US-101,Endel,US,2,2026-06-02,desktop / mac / windows / web version,Not ready for MacOS,"I really enjoy Endel and like the iOS features being brought into the Mac App. That said, it’s kinda broken the core functionality and it is very glitchy. One of my favorite features was the menu bar but now it doesn’t work. I miss the ability to change or tune soundscape directly from the menu bar. Then — in categories like “focus”, “relax”, etc — it seem they should be scalable but nothing! Hidden soundscapes that are inaccessible until in the actual player. 

Overall, I like the direction the app is headed. I just wish they would fix the bugs and get it working again, especially the menu bar functionality.
—————



Editing to downgrade and say: Please fix it soon! The old version was much better. I miss the menu bar operation and I want playback to start when I click a soundscape. Autoplay!"
En-US-103,Endel,US,1,2026-06-02,cheaper / pricing / free tier,Annoying and deceptive,"You might see an ad for this and install it thinking I’m going to listen to the sounds and see if any of it is any good. You will have like 20 onboarding screens and at now point will you understand what this app does or why it’s asking you these questions. Then it will present you with some truly insane subscription pricing options including a free trial that they clearly hope you will choose and then forget about.

The real tell is you can’t choose the free trial with the monthly option. Minimum penalty for forgetting to cancel the trial is a $60 charge. No reason to do that unless you are riding in scam money.

Maybe the app is cool and good. Who knows. After all that BS I just killed the app and didn’t come back."
En-US-114,Endel,US,5,2026-05-29,cheaper / pricing / free tier,Love this,Just really wish it was a Monty subscription.
En-US-115,Endel,US,5,2026-05-27,cheaper / pricing / free tier,Endel continues to soothe and focus my brain,"I found Endel when it first came out, 2017 or so. I struggled with technical issues on my ancient phone but loved when it worked. While off grid in the woods for 2 weeks, this became my soundtrack on my iphone 12 mini, which I still use. At that point endel worked offline, with the most basic sounds free and no 10 minute limit. It was incredible and non-invasive in the natural space. I also used it at night on low volume to warn the cougars and bears of my presence. I didn't die! Yay! I finally purchased a year of it now, in 2026, because I need it more than ever being finally diagnosed with adhd and autism. I love focus, move and sleep-I love the way it supports my odd hours or focus and helps me rest easily for sleep. When I turn it off, I almost feel like I was being physically pushed and then, like the push is gone when I turn it off. It actually supports focus, aligns with neuroplasticity experiments and is simply my fave thing to listen to for all activities! It's expensive and I wish it was more accessible for lower income people. But even the free version is super helpful. LOVE IT!"
En-US-127,Endel,US,1,2026-05-23,account / cancellation / restore,"Seems cool, but","I was curious about this app, thinking a family member might be interested. After giving it a listen, I deleted it. Now I am being charged, despite there being no indication or record of a subscription on my device. And there seems to be no way to address this. I would have given this a higher rating except for this issue."
En-US-131,Endel,US,2,2026-05-21,stop upsell / ads / push nagging,NAGWARE (even with subscription),"I really like the app except for it’s constant nagging, pop-ups telling you to buy a lifetime subscription.

When I’m having a bad day, etc., and I need to get to some sound relief I can’t immediately listen to those soothing sounds. I have to endure their constant pop-ups before I can get relief.

I like the app, STOP IT! YOU MAKE THE SITUATION WORSE, AND YOU TRIGGER.

Sometimes, I wish that to developers would go through an anxiety attack every time I do when I just opened their app.

I sense the developer saying “we don’t care about you give us your money”.

I gave it two stars instead of one because I enjoy the app when it’s not a triggering, greedy beep."
En-US-143,Endel,US,2,2026-05-18,cheaper / pricing / free tier,"Helpful app, bad monetization","This app is helpful and useful for the ambient sounds it produces, but extorts you into paying if you want to use it any longer than 10 minutes at a time. Of course you can just press pause, and then unpause to restart the timer,  but why charge an annual subscription just to be able to use the app for long periods of time. Should offer a one time purchase version for limited premium features"
En-US-153,Endel,US,1,2026-05-13,playback controls (autoplay / background mode),Persistent notifications. Horrendous.,"I downloaded this based off the suggestion of Easlo, but found the app to be extremely poorly designed. Case in point the sounds don’t stop even when you exit out, and there are persistent notifications you can’t opt out of. I redownloaded the app to leave this negative review."
En-US-160,Endel,US,1,2026-05-11,visuals / UI / navigation / simplicity,Nice idea. False Advertising on Social Media,"This app is a very diverse and overly complicated timer for the Pomodoro Technique. Instead of helping my ADHD, I get so lost setting a timer, timing the sound and figuring out the warm up and post focus period times that this app makes me significantly less productive. 

The lack of the 8D audio files with vocals that are used in ads are not on the app, and the sounds in the 8D category of the app don’t alternate in my headphones to produce the focusing effect like the ad suggested. I missed canceling my 7 day trial by 12 hours and am stuck with this ineffective, over priced service for 3 months. I want my $64 returned."
En-US-167,Endel,US,3,2026-05-08,desktop / mac / windows / web version,Audio playback bug on macOS (Premium subscription),"I purchased a yearly subscription, but the app is broken on macOS.
The timer sound works fine, but there is absolutely no sound in the actual modes (Focus, Relax, etc.). Multiple reinstalls didn't help at all.
It's clearly a bug with the app's audio engine or content loading on the desktop version. Please fix this, the app is unusable on Mac right now."
En-US-174,Endel,US,1,2026-05-05,stop upsell / ads / push nagging,Aggressive advertisement for paid users,"While being a premium subscriber, I still get prompted to upgrade to the life time subscription at least once a day. This is really annoying and very intrusive to my flow because it pops up when I want to play something. Please fix this, as a paid user I shouldn’t be aggressively prompted to upgrade every day"
En-US-190,Endel,US,1,2026-05-02,account / cancellation / restore,Scam - charged me immediately for a year,"Used for a couple days. Ok product but equally good stuff on YouTube for free. But then I realized they charged me $120 upfront even though it should have been a 7 day free trial then a charge. Having to go through Apple refund process, what a pain hope it works!"
En-US-195,Endel,US,4,2026-05-01,customization / mix-your-own / controls,"More Shortcuts Please, and better focus breaks","Love this app so much. All i want is 

1. to be able to create custom shortcuts to start scenarios. I love the deep work scenario but its such a pain to have to open the app and set the settings every time 

2. Why is there no option to chime or pause when focus timer switches to break?? I cant use that mode because the (very subtle) change in music does not register for me that it is break time. Need the option for a chime or better yet, set it so that the music stops whe. Its break time!"
En-US-200,Endel,US,4,2026-04-30,more variety / more soundscapes & music,Good for when music is too much,But I wish there was more variety and options; even the sounds in the custom option feel like repeats of the same sounds
En-US-201,Endel,US,5,2026-04-30,bugs/fixes (stability wishes),Please update,"I live Endel, and I use it every day. The Uplift mode keeps asking to update permissions, which I did but it still does not work. It was working great several days ago. Please fix this."
En-US-202,Endel,US,5,2026-04-29,bugs/fixes (stability wishes),Can’t sleep or read without it,"I initially doubted Endel, but now I can’t sleep without it. While the built-in white noise on HomePod is effective, Endel’s sleep mode tones instantly make me drowsy after a few weeks of use. It even calms my dog.

As an AuDHD person, I struggle with reading due to distractions. Endel’s focus, dynamic focus, study, and deeper focus modes help me stay on task and make reading easier.

The app offers more features, but these are my two favorites.

My only complaint is that the uplift feature doesn’t collect my health and location data despite the required permissions."
En-US-209,Endel,US,4,2026-04-28,more variety / more soundscapes & music,ADHD regulator!,This app is really helpful for resetting or focusing my nervous system. I primarily use the focus timer- great for work tasks- and the 8D audio - great for regulation. My one qualm is that the 8D audio seems super limited. I think it’s just playing the one track? Surely there can be so much more variety. It’s my understanding they build the focus timer music with ai to building variations that keep your brain engaged. I wish there were more moods /options ir just differences among the 8D offering.
En-US-228,Endel,US,1,2026-04-15,desktop / mac / windows / web version,Premium Account tho not on desktop app,"I have a premium subscription, but when I log into the desktop app my account appears as free and I am missing the premium features I should have access to. Everything works as expected on mobile, but I assumed the same access would carry over to the desktop app as well. Seems like it should so dunno what's wrong. Def makes me glad I didn't get the lifestime sub but also not sure I will renew my sub next year tho i love the service"
En-US-229,Endel,US,1,2026-04-15,account / cancellation / restore,No communication no refund,"Did the 7 day free trial, went in to cancel it on the 7th day and saw they charged my bank account (which this should have been charged to my apple account) for $119. Left a handful of messages different ways to company…still no replies
Update: developer replied below saying to email them, i have 3 times and no response"
En-US-235,Endel,US,5,2026-04-14,cheaper / pricing / free tier,I wish I had the money,Unfortunately I do not have the money for this marvelous product. I’m not sure how I’m going to sleep well again until I get the money. I wish you had a month to month price because I would buy it in a heartbeat. I’ve had the best sleep of my entire life using your product. I’ve already recommended this to someone and will confuse to do so. Thanks for the trial. It’s AMAZING
En-US-237,Endel,US,5,2026-04-13,integration: watch / wearable / smart home / casting,This is so good!,The app is really cool. Just one suggestion. I wish it could connect to Google home assistant or Alexa.
En-US-240,Endel,US,2,2026-04-09,account / cancellation / restore,Unimpressed,"VERY expensive, compared to even higher quality alternatives. So little content in my opinion, and even the options available did not resonate very well with me. Feels like a scam after giving alternatives a try. It blows my mind that there isn’t a free trial period and I got charged $20 for a MONTH, crazy. Wish there was a refund option"
