app,storefront,id,date,rating,primary_complaint,title
Focus@Will,US,focusatwill-US-000,2026-07-02,2,No offline / streaming-only,Used to love this app
Focus@Will,US,focusatwill-US-001,2026-05-16,1,Cancellation difficulty,"Support not available, doesn't work with my Bose Bluetooth headphones"
Focus@Will,US,focusatwill-US-003,2026-04-14,1,UX / app bugs / reliability,“Something went wrong”
Focus@Will,US,focusatwill-US-004,2026-02-20,1,UX / app bugs / reliability,Don’t buy this app
Focus@Will,US,focusatwill-US-005,2025-11-28,1,Cancellation difficulty,Cannot cancel
Focus@Will,US,focusatwill-US-006,2025-11-07,1,Misleading advertising,just Don’t Subscribe.
Focus@Will,US,focusatwill-US-007,2025-09-24,3,UX / app bugs / reliability,LOVE but so buggy
Focus@Will,US,focusatwill-US-008,2025-06-28,1,UX / app bugs / reliability,Website great. App is garbage. No audio.
Focus@Will,US,focusatwill-US-009,2025-04-18,2,UX / app bugs / reliability,Sometimes just stops randomly
Focus@Will,US,focusatwill-US-010,2025-02-12,3,Account / login / restore,Helps with ADHD but you eventually Catch Up
Focus@Will,US,focusatwill-US-011,2025-02-10,3,Feature removed / update regression,Bluetooth is not working for iPhone app
Focus@Will,US,focusatwill-US-015,2024-11-10,3,Abandonware / not updated / no new-device support,"Developer, PLZ READ"
Focus@Will,US,focusatwill-US-016,2024-11-05,1,Account / login / restore,deceptive
Focus@Will,US,focusatwill-US-017,2024-10-17,1,UX / app bugs / reliability,No updates for 2 years; no support!! Lifetime member disappointed.
Focus@Will,US,focusatwill-US-018,2024-09-30,1,Feature removed / update regression,Doesn’t work
Focus@Will,US,focusatwill-US-019,2024-09-04,1,UX / app bugs / reliability,meh
Focus@Will,US,focusatwill-US-021,2024-03-14,1,Other (uncategorized),Opportunities for Enhancement on Apple M3 Max Compatibility
Focus@Will,US,focusatwill-US-022,2024-01-17,1,UX / app bugs / reliability,It’s not working
Focus@Will,US,focusatwill-US-023,2023-12-11,1,Billing / unauthorized charges / refund anger,Useless app
Focus@Will,US,focusatwill-US-024,2023-11-17,1,Cancellation difficulty,Not A True Free Trial
