app,storefront,id,date,rating,praise_codes,title
Focus@Will,US,focusatwill-US-002,2026-05-01,4,,"This app is amazing, although I'm having an issue."
Focus@Will,US,focusatwill-US-012,2025-01-16,5,effect: focus / productivity|effect: anxiety / calm|variety / catalog size,Unlock Deep Focus Anywhere
Focus@Will,US,focusatwill-US-013,2025-01-04,5,effect: focus / productivity|effect: ADHD / neurodivergent|effect: anxiety / calm,Focus & Flow
Focus@Will,US,focusatwill-US-014,2024-12-15,5,effect: focus / productivity,Love this app
Focus@Will,US,focusatwill-US-020,2024-09-03,5,effect: focus / productivity,I love the new chinchilla focus
Focus@Will,US,focusatwill-US-029,2023-08-06,5,effect: focus / productivity|price / value for money,100% improvement for me!
Focus@Will,US,focusatwill-US-034,2022-09-08,5,effect: focus / productivity|effect: ADHD / neurodivergent|price / value for money,Gets my brain in the zone
Focus@Will,US,focusatwill-US-039,2022-03-26,4,,Unable to renew subscription
Focus@Will,US,focusatwill-US-042,2021-11-22,5,effect: focus / productivity|longevity / daily habit,My new focus super power…
Focus@Will,US,focusatwill-US-043,2021-11-01,4,,"Great background music, real battery killer"
Focus@Will,US,focusatwill-US-044,2021-10-31,5,effect: sleep|effect: anxiety / calm|science framing,Life changing
Focus@Will,US,focusatwill-US-045,2021-10-31,5,effect: focus / productivity|effect: sleep|effect: anxiety / calm,Wonderful
Focus@Will,US,focusatwill-US-048,2021-08-13,5,effect: focus / productivity|effect: ADHD / neurodivergent|price / value for money,Helpful for my ADD
Focus@Will,US,focusatwill-US-049,2021-08-02,5,effect: focus / productivity|longevity / daily habit,The best for focus
Focus@Will,US,focusatwill-US-053,2021-07-07,5,,Awesome app update
Focus@Will,US,focusatwill-US-055,2021-05-28,5,effect: focus / productivity,This stuff works!
Focus@Will,US,focusatwill-US-058,2021-03-12,5,effect: focus / productivity,Focus
Focus@Will,US,focusatwill-US-061,2020-11-29,5,effect: focus / productivity|science framing,Great Tool for Deep Thinking
Focus@Will,US,focusatwill-US-063,2020-09-11,5,effect: focus / productivity|one-time purchase / no subscription|design / UI / aesthetics,Great for exercising
Focus@Will,US,focusatwill-US-064,2020-08-29,5,effect: focus / productivity,It really works
Focus@Will,US,focusatwill-US-065,2020-08-26,5,effect: focus / productivity|effect: ADHD / neurodivergent|longevity / daily habit,Unique and amazing tool for ADHD Focus!
Focus@Will,US,focusatwill-US-066,2020-08-21,5,sound quality / character|science framing,Interesting glitch
Focus@Will,US,focusatwill-US-067,2020-08-07,5,effect: focus / productivity|effect: anxiety / calm,Love this app?
Focus@Will,US,focusatwill-US-068,2020-07-28,5,effect: focus / productivity|effect: tinnitus / noise masking,Noisy neighbors
Focus@Will,US,focusatwill-US-069,2020-07-08,5,effect: focus / productivity|price / value for money,I love it!!
Focus@Will,US,focusatwill-US-070,2020-06-07,5,effect: focus / productivity,great productivity app
Focus@Will,US,focusatwill-US-071,2020-04-18,5,effect: focus / productivity|one-time purchase / no subscription,Focusing app that is also enjoyable!
Focus@Will,US,focusatwill-US-072,2020-04-18,5,effect: focus / productivity,It works great.
Focus@Will,US,focusatwill-US-076,2020-02-25,5,effect: focus / productivity|effect: ADHD / neurodivergent|science framing,Voodoo
Focus@Will,US,focusatwill-US-086,2019-11-14,5,effect: focus / productivity|one-time purchase / no subscription|design / UI / aesthetics,Ready for prime time
Focus@Will,US,focusatwill-US-089,2019-09-30,4,effect: focus / productivity|effect: ADHD / neurodivergent,I think you could get more for money in app?
Focus@Will,US,focusatwill-US-090,2019-09-16,5,effect: focus / productivity,always on
Focus@Will,US,focusatwill-US-091,2019-09-10,5,effect: focus / productivity|effect: tinnitus / noise masking|integration (watch / home / desktop / shortcuts),Perfect for open offices
Focus@Will,US,focusatwill-US-092,2019-09-08,5,effect: focus / productivity|design / UI / aesthetics|longevity / daily habit,Focus gives you focus and no BS
Focus@Will,US,focusatwill-US-093,2019-09-07,5,price / value for money,I use this all the time
Focus@Will,US,focusatwill-US-094,2019-09-07,5,price / value for money,Worth it
Focus@Will,US,focusatwill-US-095,2019-09-06,5,effect: focus / productivity,Focus@Will is Amazing
Focus@Will,US,focusatwill-US-096,2019-09-06,5,effect: anxiety / calm,Listening to Water 1
Focus@Will,US,focusatwill-US-097,2019-09-05,4,effect: focus / productivity|effect: anxiety / calm,Drone baby drone.
Focus@Will,US,focusatwill-US-098,2019-09-05,5,,Best work app
Focus@Will,US,focusatwill-US-099,2019-09-05,5,effect: focus / productivity,Increased productivity
Focus@Will,US,focusatwill-US-100,2019-09-05,5,effect: focus / productivity|longevity / daily habit,Game changer
Focus@Will,US,focusatwill-US-101,2019-09-05,5,effect: focus / productivity|design / UI / aesthetics|integration (watch / home / desktop / shortcuts)|longevity / daily habit,Good music for deep work
Focus@Will,US,focusatwill-US-102,2019-09-05,4,effect: focus / productivity|design / UI / aesthetics|longevity / daily habit|effect: ADHD / neurodivergent,Keeps me focused
Focus@Will,US,focusatwill-US-103,2019-09-05,5,,Post concussion therapy
Focus@Will,US,focusatwill-US-104,2019-09-04,5,effect: focus / productivity,Zoom in
Focus@Will,US,focusatwill-US-106,2019-08-30,5,effect: focus / productivity|one-time purchase / no subscription|effect: ADHD / neurodivergent,I am a lifetime member
Focus@Will,US,focusatwill-US-108,2019-07-02,4,effect: focus / productivity|variety / catalog size,Great tool for attention
Focus@Will,US,focusatwill-US-112,2019-05-21,5,effect: focus / productivity,Amazingly it helps
Focus@Will,US,focusatwill-US-114,2019-05-14,4,,Needs AirPod support
Focus@Will,US,focusatwill-US-115,2019-05-09,5,effect: focus / productivity|price / value for money|honesty / fair treatment / respects the user|longevity / daily habit,Absolutely LOVE this program!
Focus@Will,US,focusatwill-US-121,2019-04-07,5,effect: focus / productivity|price / value for money,GETS ME IN THE ZONE
Focus@Will,US,focusatwill-US-122,2019-04-07,5,effect: focus / productivity|price / value for money,Can’t live without this.
Focus@Will,US,focusatwill-US-123,2019-04-06,4,effect: focus / productivity|one-time purchase / no subscription|design / UI / aesthetics|science framing,Neuroscience experts need to hire a user interface expert
Focus@Will,US,focusatwill-US-125,2019-03-24,5,,New Update
Focus@Will,US,focusatwill-US-127,2019-03-14,5,effect: focus / productivity|effect: anxiety / calm|longevity / daily habit,Consistently effective
Focus@Will,US,focusatwill-US-130,2019-03-05,5,effect: focus / productivity,Indispensable Focusing Tool
Focus@Will,US,focusatwill-US-132,2019-03-01,4,variety / catalog size,Working from home
Focus@Will,US,focusatwill-US-133,2019-02-28,5,effect: focus / productivity|effect: ADHD / neurodivergent|longevity / daily habit,Very helpful! Especially for those with Adult ADHD!
Focus@Will,US,focusatwill-US-134,2019-02-22,5,effect: focus / productivity,Flow state on demand!
Focus@Will,US,focusatwill-US-135,2019-02-06,5,effect: focus / productivity,Works so well...
Focus@Will,US,focusatwill-US-136,2019-01-23,5,effect: focus / productivity|effect: anxiety / calm,Game changer!
Focus@Will,US,focusatwill-US-138,2019-01-12,5,effect: focus / productivity|one-time purchase / no subscription|design / UI / aesthetics|science framing,Get. This. App.
Focus@Will,US,focusatwill-US-143,2018-12-09,5,sound quality / character|price / value for money,Essential!
Focus@Will,US,focusatwill-US-145,2018-11-20,5,effect: focus / productivity,Super Effective!
Focus@Will,US,focusatwill-US-146,2018-11-01,5,effect: focus / productivity|variety / catalog size,"A solid, trusted app for dedicated focus"
Focus@Will,US,focusatwill-US-148,2018-10-23,4,,Very helpful
Focus@Will,US,focusatwill-US-149,2018-10-17,4,effect: focus / productivity|price / value for money,Helpful for Studying
Focus@Will,US,focusatwill-US-151,2018-09-22,5,effect: focus / productivity|effect: ADHD / neurodivergent,ADHD support
Focus@Will,US,focusatwill-US-152,2018-09-12,4,effect: focus / productivity|one-time purchase / no subscription|design / UI / aesthetics,This makes me more productive
Focus@Will,US,focusatwill-US-153,2018-09-11,5,effect: focus / productivity|design / UI / aesthetics,Love it!
Focus@Will,US,focusatwill-US-154,2018-09-10,5,,Awesome
Focus@Will,US,focusatwill-US-155,2018-08-17,5,,Propeller is like sitting on an airplane
Focus@Will,US,focusatwill-US-157,2018-08-10,5,effect: focus / productivity|longevity / daily habit,It works!
Focus@Will,US,focusatwill-US-158,2018-08-08,5,effect: focus / productivity|variety / catalog size|longevity / daily habit,Awesome app
Focus@Will,US,focusatwill-US-160,2018-08-01,5,effect: focus / productivity|effect: ADHD / neurodivergent,Godsend for ADD
Focus@Will,US,focusatwill-US-161,2018-07-25,5,effect: focus / productivity|variety / catalog size|control / customization,Focus is possible! Adaptable sound on easy app
Focus@Will,US,focusatwill-US-162,2018-07-24,5,effect: focus / productivity|effect: anxiety / calm|longevity / daily habit,Absolutely love this app
Focus@Will,US,focusatwill-US-163,2018-07-18,5,effect: focus / productivity|one-time purchase / no subscription,The best aide to focused work
Focus@Will,US,focusatwill-US-165,2018-07-15,5,effect: focus / productivity|effect: anxiety / calm,Excellent productivity tool
Focus@Will,US,focusatwill-US-166,2018-07-15,4,offline / privacy / no account,Great product. Need offline capability.
Focus@Will,US,focusatwill-US-167,2018-07-13,5,,Great app!
Focus@Will,US,focusatwill-US-168,2018-07-13,4,effect: focus / productivity|price / value for money,"Really helpful, requires frequent restarts"
Focus@Will,US,focusatwill-US-170,2018-07-10,5,effect: focus / productivity,Thank You
Focus@Will,US,focusatwill-US-171,2018-07-09,5,longevity / daily habit,Best app I own
Focus@Will,US,focusatwill-US-172,2018-07-09,5,effect: focus / productivity,Great app!
Focus@Will,US,focusatwill-US-175,2018-06-29,5,effect: focus / productivity,Great for focus
Focus@Will,US,focusatwill-US-176,2018-06-28,5,effect: focus / productivity,Works
Focus@Will,US,focusatwill-US-179,2018-06-10,5,effect: focus / productivity|longevity / daily habit,Don’t miss out!
Focus@Will,US,focusatwill-US-180,2018-06-08,5,effect: focus / productivity,Do it
Focus@Will,US,focusatwill-US-181,2018-06-07,4,effect: focus / productivity,Quite a good service
Focus@Will,US,focusatwill-US-182,2018-06-06,4,effect: focus / productivity|price / value for money|longevity / daily habit,What can I say?
Focus@Will,US,focusatwill-US-184,2018-06-03,5,effect: focus / productivity,Focus Mastery
Focus@Will,US,focusatwill-US-185,2018-06-03,5,effect: focus / productivity|effect: ADHD / neurodivergent,Very helpful!
Focus@Will,US,focusatwill-US-187,2018-05-21,5,effect: focus / productivity|effect: tinnitus / noise masking,Finally can focus
Focus@Will,US,focusatwill-US-188,2018-05-21,5,effect: focus / productivity,It works!
Focus@Will,US,focusatwill-US-189,2018-05-19,5,effect: focus / productivity|price / value for money,Unlimited Lyric-Free Streaming
Focus@Will,US,focusatwill-US-190,2018-05-12,5,effect: focus / productivity,I absolutely love Focus@will!
Focus@Will,US,focusatwill-US-193,2018-04-11,5,effect: focus / productivity|effect: anxiety / calm,Like Pavlov’s dog ... I have trained myself
Focus@Will,US,focusatwill-US-194,2018-04-05,4,price / value for money,Good overall. A little buggy.
Focus@Will,US,focusatwill-US-196,2018-02-06,5,effect: focus / productivity|variety / catalog size|integration (watch / home / desktop / shortcuts),Great for focusing as promised.
Focus@Will,US,focusatwill-US-200,2017-12-20,5,effect: focus / productivity,Awesome
Focus@Will,US,focusatwill-US-201,2017-12-11,5,one-time purchase / no subscription,Makes a Difference for Me
Focus@Will,US,focusatwill-US-202,2017-11-12,5,effect: focus / productivity|price / value for money|honesty / fair treatment / respects the user|science framing,Scientifically perfect!
